person_id,display_name,name_key,all_session_ids,all_entity_ids,all_legislator_ids,entity_id,primary_committee_name,primary_candidate_name,total_income_all_records,total_expense_all_records,earliest_activity,latest_activity,legislator_id,legislator_name,party,body,district,search_vector
979,Jill Norgaard,jill norgaard,"[""114"",""115"",""116"",""117"",""119"",""120""]",,"[""1642"",""1738""]",,,,,,,,1642,Jill Norgaard,R,H,,"'jill':1,3 'norgaard':2,4"
983,Lupe Contreras,lupe contreras,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125"",""127"",""128"",""129""]",,"[""1537"",""1792"",""1935"",""1973"",""2156"",""2301""]",,,,,,,,1537,Lupe Contreras,D,S,,"'contrera':2,4 'lupe':1,3"
996,Todd A. Clodfelter,todd clodfelter,"[""117"",""119"",""120""]",,"[""1756""]",,,,,,,,1756,Todd A. Clodfelter,R,H,,"'clodfelt':3,6 'todd':1,4"
997,Pamela Powers Hannley,pamela hannley,"[""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1755"",""1877"",""2018""]",,,,,,,,1755,Pamela Powers Hannley,D,H,,"'hannley':3,6 'pamela':1,4 'power':2,5"
1018,Charlene R. Fernandez,charlene fernandez,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124""]",,"[""1619"",""1726"",""1864"",""2005""]",,,,,,,,1619,Charlene R. Fernandez,D,H,,"'charlen':1,4 'fernandez':3,6 'r':2,5"
1035,Julie Willoughby,julie willoughby,"[""127"",""128"",""129""]",,"[""2270"",""2344""]",,,,,,,,2270,Julie Willoughby,R,H,,"'juli':1,3 'willoughbi':2,4"
1039,Kate Brophy McGee,kate mcgee,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122""]",,"[""1664"",""1801"",""1944""]",,,,,,,,1664,Kate Brophy McGee,R,H,,"'brophi':2,5 'kate':1,4 'mcgee':3,6"
1055,Leezah Elsa Sun,leezah sun,"[""127"",""128""]",,"[""2200""]",,,,,,,,2200,Leezah Elsa Sun,D,H,,"'elsa':2,5 'leezah':1,4 'sun':3,6"
1064,Rachel Jones,rachel jones,"[""127"",""128""]",,"[""2173""]",,,,,,,,2173,Rachel Jones,R,H,,"'jone':2,4 'rachel':1,3"
1078,Adam Driggs,adam driggs,"[""114"",""115"",""116""]",,"[""1546""]",,,,,,,,1546,Adam Driggs,R,S,,"'adam':1,3 'drigg':2,4"
1081,Kevin Volk,kevin volk,"[""129""]",,"[""2365""]",,,,,,,,2365,Kevin Volk,D,H,,"'kevin':1,3 'volk':2,4"
1094,Paul Boyer,paul boyer,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1645"",""1717"",""1936"",""1974""]",,,,,,,,1645,Paul Boyer,R,H,,"'boyer':2,4 'paul':1,3"
1126,Karen Fann,karen fann,"[""114"",""115"",""116"",""117"",""119"",""120"",""121"",""122"",""123"",""124"",""125""]",,"[""1628"",""1774"",""1917"",""1955""]",,,,,,,,1628,Karen Fann,R,H,,"'fann':2,4 'karen':1,3"
1136,Anastasia Travers,anastasia travers,"[""127"",""128""]",,"[""2203""]",,,,,,,,2203,Anastasia Travers,D,H,,"'anastasia':1,3 'traver':2,4"
1143,Jesus Rubalcava,jesus rubalcava,"[""117""]",,"[""1750""]",,,,,,,,1750,Jesus Rubalcava,D,H,,"'jesus':1,3 'rubalcava':2,4"
1151,Catherine Miranda,catherine miranda,"[""114"",""115"",""116"",""117"",""119"",""120"",""127"",""128"",""129""]",,"[""1545"",""1800"",""2138"",""2392""]",,,,,,,,1545,Catherine Miranda,D,S,,"'catherin':1,3 'miranda':2,4"
